player,rank,points,url_perfil
A. Fery,157,396,https://www.atptour.com/en/players/arthur-fery/f0dm/overview
H. Dellien,158,393,https://www.atptour.com/en/players/hugo-dellien/da31/overview
M. Landaluce,159,390,https://www.atptour.com/en/players/martin-landaluce/l0il/overview
A. Bolt,160,383,https://www.atptour.com/en/players/alex-bolt/bi81/overview
M. Lajal,161,378,https://www.atptour.com/en/players/mark-lajal/l0gh/overview
A. Gea,162,377,https://www.atptour.com/en/players/arthur-gea/g0ix/overview
F. Passaro,163,376,https://www.atptour.com/en/players/francesco-passaro/p0ct/overview
U. Blanchet,164,375,https://www.atptour.com/en/players/ugo-blanchet/bv16/overview
L. Mikrut,165,371,https://www.atptour.com/en/players/luka-mikrut/m0n1/overview
S. Travaglia,166,370,https://www.atptour.com/en/players/stefano-travaglia/ta12/overview
M. Gigante,167,367,https://www.atptour.com/en/players/matteo-gigante/g0gd/overview
R. Sakamoto,168,364,https://www.atptour.com/en/players/rei-sakamoto/s0uv/overview
Y. Nishioka,169,361,https://www.atptour.com/en/players/yoshihito-nishioka/n732/overview
G. Monfils,170,360,https://www.atptour.com/en/players/gael-monfils/mc65/overview
D. Glinka,171,359,https://www.atptour.com/en/players/daniil-glinka/g0by/overview
H. Rocha,172,357,https://www.atptour.com/en/players/henrique-rocha/r0go/overview
L. Riedi,173,356,https://www.atptour.com/en/players/leandro-riedi/r0fs/overview
H. Mayot,174,355,https://www.atptour.com/en/players/harold-mayot/m0g4/overview
R. Carballes Baena,175,350,https://www.atptour.com/en/players/roberto-carballes-baena/cf59/overview
J. Rodionov,176,350,https://www.atptour.com/en/players/jurij-rodionov/r09x/overview
Y. Watanuki,177,349,https://www.atptour.com/en/players/yosuke-watanuki/wb08/overview
Z. Piros,178,341,https://www.atptour.com/en/players/zsombor-piros/p09o/overview
N. Mejia,179,341,https://www.atptour.com/en/players/nicolas-mejia/m0aw/overview
A. Barrena,180,336,https://www.atptour.com/en/players/alex-barrena/b0gy/overview
V. Sachko,181,333,https://www.atptour.com/en/players/vitaliy-sachko/ss25/overview
F. Gomez,182,331,https://www.atptour.com/en/players/federico-agustin-gomez/gj16/overview
J. Ficovich,183,331,https://www.atptour.com/en/players/juan-pablo-ficovich/fa43/overview
D. Galan,184,330,https://www.atptour.com/en/players/daniel-elahi-galan/ge33/overview
J. Clarke,185,329,https://www.atptour.com/en/players/jay-clarke/ci14/overview
R. Safiullin,186,328,https://www.atptour.com/en/players/roman-safiullin/sx50/overview
B. Tomic,187,319,https://www.atptour.com/en/players/bernard-tomic/ta46/overview
E. Ymer,188,315,https://www.atptour.com/en/players/elias-ymer/y218/overview
P. Llamas Ruiz,189,314,https://www.atptour.com/en/players/pablo-llamas-ruiz/l0cx/overview
P. Herbert,190,313,https://www.atptour.com/en/players/pierre-hugues-herbert/h996/overview
C. Tabur,191,311,https://www.atptour.com/en/players/clement-tabur/t09x/overview
N. Basavareddy,192,310,https://www.atptour.com/en/players/nishesh-basavareddy/b0nn/overview
H. Grenier,193,310,https://www.atptour.com/en/players/hugo-grenier/gf95/overview
J. Engel,194,309,https://www.atptour.com/en/players/justin-engel/e0dd/overview
T. Skatov,195,308,https://www.atptour.com/en/players/timofey-skatov/s0gr/overview
Z. Kolar,196,308,https://www.atptour.com/en/players/zdenek-kolar/kh56/overview
J. Kym,197,307,https://www.atptour.com/en/players/jerome-kym/k0ep/overview
D. Evans,198,306,https://www.atptour.com/en/players/daniel-evans/e687/overview
A. Holmgren,199,303,https://www.atptour.com/en/players/august-holmgren/h09n/overview
A. Molcan,200,302,https://www.atptour.com/en/players/alex-molcan/mv14/overview
D. Added,201,299,https://www.atptour.com/en/players/dan-added/a09t/overview
A. Guillen Meza,202,298,https://www.atptour.com/en/players/alvaro-guillen-meza/g0dh/overview
J. Kubler,203,295,https://www.atptour.com/en/players/jason-kubler/kb95/overview
G. Loffhagen,204,295,https://www.atptour.com/en/players/george-loffhagen/l0cf/overview
C. Chidekh,205,292,https://www.atptour.com/en/players/clement-chidekh/c0bh/overview
L. Giustino,206,292,https://www.atptour.com/en/players/lorenzo-giustino/ga79/overview
J. Reis Da Silva,207,291,https://www.atptour.com/en/players/joao-lucas-reis-da-silva/r0a7/overview
T. Monteiro,208,290,https://www.atptour.com/en/players/thiago-monteiro/mj08/overview
L. Pavlovic,209,286,https://www.atptour.com/en/players/luka-pavlovic/p0ay/overview
J. McCabe,210,283,https://www.atptour.com/en/players/james-mccabe/m0oq/overview
G. Bailly,211,280,https://www.atptour.com/en/players/gilles-arnaud-bailly/b0qc/overview
J. Prado Angelo,212,279,https://www.atptour.com/en/players/juan-carlos-prado-angelo/p0iy/overview
R. Bertola,213,276,https://www.atptour.com/en/players/remy-bertola/bu70/overview
I. Simakin,214,274,https://www.atptour.com/en/players/ilia-simakin/s0o6/overview
O. Crawford,215,273,https://www.atptour.com/en/players/oliver-crawford/c0ak/overview
M. Cecchinato,216,270,https://www.atptour.com/en/players/marco-cecchinato/cf01/overview
T. Boyer,217,268,https://www.atptour.com/en/players/tristan-boyer/b0ej/overview
G. Bueno,218,265,https://www.atptour.com/en/players/gonzalo-bueno/b0gr/overview
T. Seyboth Wild,219,262,https://www.atptour.com/en/players/thiago-seyboth-wild/sx91/overview
Y. Zhou,220,261,https://www.atptour.com/en/players/yi-zhou/z0cq/overview
Y. Hsu,221,259,https://www.atptour.com/en/players/yu-hsiou-hsu/h09f/overview
L. Neumayer,222,255,https://www.atptour.com/en/players/lukas-neumayer/n0cs/overview
N. Fatic,223,254,https://www.atptour.com/en/players/nerman-fatic/f840/overview
F. Ferreira Silva,224,254,https://www.atptour.com/en/players/frederico-ferreira-silva/sn54/overview
F. Cina,225,252,https://www.atptour.com/en/players/federico-cina/c0nb/overview
L. Midon,226,252,https://www.atptour.com/en/players/lautaro-midon/m0oh/overview
M. Huesler,227,250,https://www.atptour.com/en/players/marc-andrea-huesler/hh06/overview
R. Pacheco Mendez,228,248,https://www.atptour.com/en/players/rodrigo-pacheco-mendez/p0j1/overview
G. Olivieri,229,247,https://www.atptour.com/en/players/genaro-alberto-olivieri/o660/overview
A. Galarneau,230,246,https://www.atptour.com/en/players/alexis-galarneau/gk06/overview
S. Rodriguez Taverna,231,246,https://www.atptour.com/en/players/santiago-rodriguez-taverna/rh59/overview
M. Dodig,232,244,https://www.atptour.com/en/players/matej-dodig/d0l3/overview
A. Collarini,233,244,https://www.atptour.com/en/players/andrea-collarini/cc66/overview
R. Peniston,234,242,https://www.atptour.com/en/players/ryan-peniston/ph78/overview
M. Houkes,235,242,https://www.atptour.com/en/players/max-houkes/h0cx/overview
D. Popko,236,241,https://www.atptour.com/en/players/dmitry-popko/pg20/overview
B. Gojo,237,236,https://www.atptour.com/en/players/borna-gojo/gh92/overview
F. Meligeni Alves,238,236,https://www.atptour.com/en/players/felipe-meligeni-alves/mw75/overview
M. Topo,239,234,https://www.atptour.com/en/players/marko-topo/t0fi/overview
J. Monday,240,233,https://www.atptour.com/en/players/johannus-monday/m0on/overview
M. Cassone,241,233,https://www.atptour.com/en/players/murphy-cassone/c0ht/overview
K. Uchida,242,231,https://www.atptour.com/en/players/kaichi-uchida/u120/overview
T. Samuel,243,230,https://www.atptour.com/en/players/toby-samuel/s0tm/overview
A. Moro Canas,244,229,https://www.atptour.com/en/players/alejandro-moro-canas/m0ht/overview
T. Gentzsch,245,227,https://www.atptour.com/en/players/tom-gentzsch/g0ib/overview
J. Schwaerzler,246,226,https://www.atptour.com/en/players/joel-schwaerzler/s0wt/overview
F. Jianu,247,225,https://www.atptour.com/en/players/filip-cristian-jianu/j09x/overview
H. Squire,248,223,https://www.atptour.com/en/players/henri-squire/s0ak/overview
M. Krueger,249,221,https://www.atptour.com/en/players/mitchell-krueger/kc12/overview
R. Noguchi,250,221,https://www.atptour.com/en/players/rio-noguchi/n09u/overview
K. Coppejans,251,220,https://www.atptour.com/en/players/kimmer-coppejans/cg33/overview
